Total RAM: 16649436 KB
Free RAM: 4425784 KB
Used RAM: 12223652 KB
Processes:
PID: 9356, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 47988 KB
PID: 22932, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 62ms, Memory: 23740 KB
PID: 24016, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 137781ms, Memory: 117488 KB
PID: 10008, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1750ms, Memory: 3064 KB
PID: 5348, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5484ms, Memory: 98888 KB
PID: 6080, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 28096 KB
PID: 10128, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4781ms, Memory: 78264 KB
PID: 11516, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 265ms, Memory: 40824 KB
PID: 26488, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 37312ms, Memory: 221984 KB
PID: 15696, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 100218ms, Memory: 139168 KB
PID: 10076, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 6375ms, Memory: 99760 KB
PID: 15848, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1359ms, Memory: 78628 KB
PID: 12084, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1078ms, Memory: 83184 KB
PID: 17424, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 7064 KB
PID: 23304, Process Name: powershell.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1031ms, Memory: 50316 KB
PID: 10272, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3453ms, Memory: 94572 KB
PID: 17944, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 10718ms, Memory: 95056 KB
PID: 16788, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 687ms, Memory: 90936 KB
PID: 8836, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 953ms, Memory: 84108 KB
PID: 22604, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 211171ms, Memory: 133408 KB
PID: 14464, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 16765ms, Memory: 62712 KB
PID: 11388, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 24843ms, Memory: 140640 KB
