Total RAM: 16649436 KB
Free RAM: 5087248 KB
Used RAM: 11562188 KB
Processes:
PID: 14416, Process Name: StartMenuExperienceHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1593ms, Memory: 71380 KB
PID: 11740, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 44234ms, Memory: 151076 KB
PID: 5944, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 8052 KB
PID: 11168, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 10468ms, Memory: 78432 KB
PID: 4384, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3187ms, Memory: 37132 KB
PID: 6808, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 515ms, Memory: 21108 KB
PID: 9128, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 27703ms, Memory: 103892 KB
PID: 25564, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 109ms, Memory: 36064 KB
PID: 23688, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 22856 KB
PID: 16064, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1031ms, Memory: 50436 KB
PID: 23636, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 468ms, Memory: 50420 KB
PID: 9356, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 312ms, Memory: 48160 KB
PID: 22932, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 62ms, Memory: 23728 KB
PID: 24016, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 138359ms, Memory: 126776 KB
PID: 10008, Process Name: msedgewebview2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1750ms, Memory: 3096 KB
PID: 5348, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 6250ms, Memory: 105748 KB
PID: 6080, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 28092 KB
PID: 10128, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5578ms, Memory: 91036 KB
PID: 11516, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 343ms, Memory: 40948 KB
PID: 26488, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 42250ms, Memory: 223840 KB
PID: 15696, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 109968ms, Memory: 130176 KB
PID: 10076, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 6750ms, Memory: 99168 KB
PID: 15848, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1468ms, Memory: 84820 KB
PID: 12084, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1078ms, Memory: 83600 KB
PID: 17424, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 7040 KB
PID: 23304, Process Name: powershell.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1031ms, Memory: 49400 KB
PID: 10272, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3531ms, Memory: 103504 KB
PID: 17944, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 11015ms, Memory: 124232 KB
PID: 16788, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 687ms, Memory: 90940 KB
PID: 8836, Process Name: Code.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 984ms, Memory: 85504 KB
PID: 22604, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 232437ms, Memory: 135124 KB
PID: 14464, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 18203ms, Memory: 62884 KB
PID: 11388, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 25750ms, Memory: 104816 KB
PID: 21332, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 40062ms, Memory: 95308 KB
PID: 17544, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 14125ms, Memory: 57380 KB
PID: 17572, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 14343ms, Memory: 59764 KB
PID: 18120, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 12046ms, Memory: 71328 KB
PID: 24876, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 39796ms, Memory: 107720 KB
PID: 6932, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 593ms, Memory: 57724 KB
PID: 22844, Process Name: explorer.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 11406ms, Memory: 68232 KB
PID: 17104, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 53560 KB
PID: 20932, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 578ms, Memory: 56176 KB
PID: 15612, Process Name: VCTIP.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1421ms, Memory: 50048 KB
PID: 2800, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4343ms, Memory: 112272 KB
PID: 2252, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 78ms, Memory: 31992 KB
PID: 13512, Process Name: smartscreen.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 109ms, Memory: 24468 KB
PID: 9220, Process Name: devenv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 24984ms, Memory: 656848 KB
PID: 25320, Process Name: PerfWatson2.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 843ms, Memory: 71476 KB
PID: 15420, Process Name: Microsoft.ServiceHub.Controller.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1359ms, Memory: 68984 KB
PID: 25756, Process Name: ServiceHub.VSDetouredHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2312ms, Memory: 113020 KB
PID: 9460, Process Name: ServiceHub.IdentityHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2328ms, Memory: 110672 KB
PID: 23928, Process Name: ServiceHub.ThreadedWaitDialog.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1171ms, Memory: 109076 KB
PID: 7360, Process Name: ServiceHub.IntellicodeModelService.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 796ms, Memory: 52316 KB
PID: 25812, Process Name: <unknown>, Username: DESKTOP-S4MLJHQ\Admin, CPU: 0ms, Memory: 2036 KB
PID: 1552, Process Name: ServiceHub.SettingsHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1265ms, Memory: 77968 KB
PID: 18748, Process Name: ServiceHub.IndexingService.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 2343ms, Memory: 87200 KB
PID: 23788, Process Name: MSBuild.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 921ms, Memory: 58728 KB
PID: 25952, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 11796 KB
PID: 16800, Process Name: VCPkgSrv.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 93ms, Memory: 46956 KB
PID: 23316, Process Name: WindowResourceTracker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 5592 KB
PID: 20444, Process Name: conhost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 17156 KB
